id,title,description,github_url,demo_url,image_url,created_at,is_featured,author_id
1,原琴自动化工具,一个用来实现原琴自动演奏的工具,https://github.com/JuFireX/GenshinMusician,https://www.bilibili.com/video/BV1fh55zbE9r/,index.jpeg,2025-08-01 21:26:24.442015,1,2
2,爝火工作室 - JuFireX,爝火工作室文档空间,https://github.com/Churk-Ben/JuFireX,,index.jpg,2025-08-09 20:36:41.265275,1,1
